Nazwa,Opis,Linki,Nieruchomości,Wielkość
Maria Rzążewska,"Sędzia Naczelnego Sądu Administracyjnego. Kawaler Krzyża Komandorskiego Orderu Odrodzenia Polski z nadania Bronisława Komorowskiego. Orzekała w wielu przełomowych sprawach dotyczących interpretacji przepisów dekretu Bieruta. Uczestniczka konferencji z 1997 r. Członek składu orzekającego w sprawie OPS 3/03, której teza umożliwiła pozytywne rozpatrywanie wniosków złożonych „za wcześnie”. Sprawozdawca uchwały NSA, sygn. akt I OPS 5/08, której teza umożliwiła zwrot w naturze również tych nieruchomości, które zostały przeznaczone na cele publiczne.",,,small
Edward Janeczko,Sędzia Naczelnego Sądu Administracyjnego. Orzekał w wielu przełomowych sprawach dotyczących interpretacji przepisów dekretu Bieruta. Uczestnik konferencji z 1997 r. ,,,small
Włodzimierz Ryms,"Sędzia Naczelnego Sądu Administracyjnego do lipca 2017 r. Członek Państwowej Komisji Wyborczej w 2014 r., znanej z niezwykle profesjonalnego przeprowadzenia ostatnich wyborów samorzadowych. Pracownik Ministerstwa Sprawiedliwości w latach 80'. W latach 80' definitywnie wyklucza zwrot warszawskich nieruchomości w naturze. Później radykalnie zmienia zdanie. Sprawozdawca uchwały NSA, sygn. akt OPS 3/03, której teza umożliwiła pozytywne rozpatrywanie wniosków złożonych „za wcześnie”. Członek składu orzekającego w sprawie I OPS 5/08, której teza umożliwiła zwrot w naturze również tych nieruchomości, które zostały przeznaczone na cele publiczne.",link do protokołu z posiedzenia zespołu MGPB,,medium
Daniela Kozłowska,"Sędzia Wojewódzkiego Sądu Administracyjnego w Warszawie. Wraz z sędzią Eugeniuszem Mzykiem, autorka prozwrotowej doktryny (Grunty warszawskie: w świetle orzecznictwa Trybunału Konstytucyjnego, Sądu Najwyższego i Naczelnego Sądu Administracyjnego). Wydała kilka wyroków, które radykalnie zwiększyły możliwość restytucji naturalnej. ",,,small
Eugeniusz Mzyk,"Sędzia Naczelnego Sądu Administracyjnego. Wykładowca Europejskiej Wyższej Szkoły Prawa i Administracji w Warszawie. Wraz z sędzią Danielą Kozłowską, autor prozwrotowej doktryny (Grunty warszawskie: w świetle orzecznictwa Trybunału Konstytucyjnego, Sądu Najwyższego i Naczelnego Sądu Administracyjnego). Uczestnik Konferencji z 1997 r.",,,large
Leszek Jerzy Kamiński,"Sędzia Wojewódzkiego Sądu Administracyjnego w Warszawie, następnie Naczelnego Sądu Administracyjnego. Adwokat, radca prawny, prokurator. Były prezes Samorządowego Kolegium Odwoławczego w Warszawie. Organizator konferencji z 1997 r.",,,small
Irena Kamińska,"Sędzia Naczelnego Sądu Administracyjnego. Deklaruje przynależność do „zupełnie nadzwyczajnej kasty ludzi”. Jedna z prekursorek pojęcia „nieskutecznego objęcia gruntu w posiadanie”. Oddaliła skargę kasacyjną (z przyczyn formalnych) od wyroku Wojewódzkiego Sądu Administracyjnego w Warszawie, sygn. akt I SA/Wa 1146/05 zawierającego fałszywą tezę, że  „pozytywna przesłanka posiadania gruntu odnosi się wyłącznie do następcy prawnego dotychczasowego właściciela”. Prywatnie: żona Leszka Jerzego Kamińskiego - organizatora konferencji z 1997 r. ",,,small
prof. dr hab. Maciej Kaliński,Naukowiec. Glosator „słusznych” wyroków. Autor opinii zamawianych przez Biuro Gospodarki Nieruchomościami prowadzone przez Marcina Bajko.,https://chmielna70warszawa.files.wordpress.com/2016/08/opinia-prawna-kalinski-22-06-2011.pdf http://www.um.warszawa.pl/sites/all/files/download_file.php?file=/sites/default/files/attach/aktualnosci/opinia_prawna_-_prof_uw_dr_hab_maciej_kalinski.pdf,Chmielna 70,small
Mirosław Gdesz,Sędzia Wojewódzkiego Sądu Administracyjnego w Warszawie delegowany do orzekania w Naczelnym Sądzie Administracyjnym. Były Naczelnik Wydziału Mieszkalnictwa w Urzędzie Mieszkalnictwa i Rozwoju Miast(orzekającego w sprawach o stwierdzenie nieważności dawnych decyzji komunalizacyjnych). Autor prozwrotowej doktryny (Rewindykacja gruntów warszawskich [...]). W pracach naukowych ma zwyczaj cytowania własnych wyroków ,,,medium
Grzegorz M.,"Były prezes Okręgowej Rady Adwokackiej w Warszawie. Obrońca gen. Czesława Kiszczaka. Jego żona pracowała w Biurze Gospodarki Nieruchomościami Urzedu m. st. Warszawy. 
(-) nic nie wiedział o wypłaceniu świadczenia indemnizacyjnego za Chmielną 70
(-) pomimo to, posiadał w zanadrzu opinie prawne na temat umów indemnizacyjnych autorstwa J. Barcza i M. Kalińskiego
(-) nie jest w stanie w racjonalny sposób wytłumaczyć w jaki sposób wszedł w posiadanie wskazanych opinii, które to opinie zostały sporządzone na zlecenie BGN i nie były publikowane ",https://chmielna70warszawa.wordpress.com/,Chmielna 70,small
Paweł Piskorski,Prezydent m. st. Warszawy w latach 1999-2002. Sprzedał ojcu Marka Mossakowskiego aktyki za kwotę 1 000 000 zł,,Flory 3,small
Andrzej M.,Adwokat. Współpracował między innymi z Markiem M. Zajmował się reaktywacją przedwojennych spółek w celu odzyskiwania nieruchomości do nich niegdyś należących. W wielu sprawach reprywatyzacyjnych posiłkował się pełnomocnictwami sporzadzanymi przez notariuszy z Karaibów. Obecnie aresztant śledczy we Wrocławiu,"http://warszawa.wyborcza.pl/warszawa/1,150427,20215778,reprywatyzacja-w-warszawie-jak-przejac-ogrodki-dzialkowe-na.html, https://www.wprost.pl/kraj/10069356/Afera-reprywatyzacyjna-Liroy-Marzec-ujawnil-kim-jest-kurator-z-Karaibow.html","Flory 3, Foksal 7/9, Królewska 39, Gimnazjum na Twardej, Podwale 1",small
Elżbieta Buczek,"Adwokat z kancelarii Pociej, Dubois, Kosińska-Kozak. 
Absolwentka Wydziału Prawa i Administracji Uniwersytetu Warszawskiego. Wykładowca na wydziale prawa Uniwersytetu im. Kardynała Stefana Wyszyńskiego. Autorka prozwrotowej doktryny (Własność i użytkowanie gruntów na obszarze m. st. Warszawy. Komentarz, SIP LEX). Specjalizuje się w prawie administracyjnym i cywilnym, w tym w postępowaniach dotyczących restytucji nieruchomości warszawskich. Brała udział w pracach legislacyjnych nad projektem ustawy reprywatyzacyjnej. 
Reprezentuje Hannę Gronkiewicz-Waltz w niektórych przepychankach z Komisją Weryfikacyjną. 
",,,small
