A,B,Tytuł,Opis,Linki
Maria Rzążewska,Edward Janeczko,"Konferencja z dnia 17 stycznia 1997 r., uchwała NSA, sygn. akt OPS 3/03","Odbyła się z udziałem członków Samorządowego Kolegium Odwoławczego w Warszawie, sędziów Naczelnego Sądu Administracyjnego oraz urzędników Ratusza pod rządami Macieja Święcickiego. Nieformalne spotkanie proreprywatyzacyjnego lobby. Wyrażone zostają poglądy radykalnie sprzeczne z dotychczasową wykładnią przepisów dekretu Bieruta. M.in.:",http://orzeczenia.nsa.gov.pl/doc/77E195379E
Maria Rzążewska,Włodzimierz Ryms,"uchwała NSA, sygn. akt OPS 3/03",,http://orzeczenia.nsa.gov.pl/doc/77E195379E
Maria Rzążewska,Eugeniusz Mzyk,"Konferencja z dnia 17 stycznia 1997 r., uchwała NSA, sygn. akt OPS 3/03",,http://orzeczenia.nsa.gov.pl/doc/77E195379E
Maria Rzążewska,Leszek Jerzy Kamiński,Konferencja z dnia 17 stycznia 1997 r.,,http://orzeczenia.nsa.gov.pl/doc/77E195379E
Edward Janeczko,Włodzimierz Ryms,"uchwała NSA, sygn. akt OPS 3/03","- przepisy Uchwały nr 11 z dnia 27.01.1965 r., nie mają żadnego znaczenia",http://orzeczenia.nsa.gov.pl/doc/77E195379E
Edward Janeczko,Eugeniusz Mzyk,"Konferencja z dnia 17 stycznia 1997 r., uchwała NSA, sygn. akt OPS 3/03",,
Edward Janeczko,Leszek Jerzy Kamiński,Konferencja z dnia 17 stycznia 1997 r.,,
Włodzimierz Ryms,Eugeniusz Mzyk,"uchwała NSA, sygn. akt OPS 3/03",,
Daniela Kozłowska,Eugeniusz Mzyk,"Grunty warszawskie: w świetle orzecznictwa Trybunału Konstytucyjnego, Sądu Najwyższego i Naczelnego Sądu Administracyjnego",,
Daniela Kozłowska,Irena Kamińska,"wyrok WSA w Warszawie, sygn. akt I SA/Wa 1146/05, wyrok NSA, sygn. akt I OSK 1110/06 ",,
Daniela Kozłowska,prof. dr hab. Maciej Kaliński,"glosa do wyroku WSA w Warszawie, sygn. akt I SA/Wa 1146/05",,
Daniela Kozłowska,Mirosław Gdesz,"wyrok WSA w Warszawie, sygn. akt I SA/Wa 1146/05",Teza (fałszywa): przeslanka posiadania gruntu odnosi się tylko do „następców prawnych” właściciela,"http://orzeczenia.nsa.gov.pl/doc/3DF0B7F180, http://orzeczenia.nsa.gov.pl/doc/BF7096FA0B"
Eugeniusz Mzyk,Leszek Jerzy Kamiński,Konferencja z dnia 17 stycznia 1997 r.,,
Leszek Jerzy Kamiński,Irena Kamińska,małżeństwo,,
Irena Kamińska,Mirosław Gdesz,"wyrok WSA w Warszawie, sygn. akt I SA/Wa 1146/05, wyrok NSA, sygn. akt I OSK 1110/06",,"http://orzeczenia.nsa.gov.pl/doc/3DF0B7F180, http://orzeczenia.nsa.gov.pl/doc/BF7096FA0B"
prof. dr hab. Maciej Kaliński,Mirosław Gdesz,"glosa do wyroku WSA w Warszawie, sygn. akt I SA/Wa 1146/05",,
Paweł Piskorski,Andrzej M.,"Flory 3, decyzja z dnia 21 lutego 2000 r. nr GN/NW/7261/30/94/AC","Decyzja wydana w oparciu o prywatny pogląd wyrażony na nieformalnym spotkaniu przez proreprywatyzacyjne lobby. Organ całkowicie ignoruje obowiązującą wówczas linię orzeczniczą NSA (por. I SA 1036/99, I SA 179/01)","http://orzeczenia.nsa.gov.pl/doc/1A193B6F02, http://orzeczenia.nsa.gov.pl/doc/FDBC8299B3"
Paweł Piskorski,Leszek Jerzy Kamiński,"Flory 3, decyzja z dnia 21 lutego 2000 r. nr GN/NW/7261/30/94/AC",,
Grzegorz M.,prof. dr hab. Maciej Kaliński,Opinia prawna z 2011 roku w sprawie relacji między układami indemnizacyjnymi a dekretem Bieruta,,https://chmielna70warszawa.files.wordpress.com/2016/08/opinia-prawna-kalinski-22-06-2011.pdf
Paweł Piskorski,Eugeniusz Mzyk,"Flory 3, decyzja z dnia 21 lutego 2000 r. nr GN/NW/7261/30/94/AC",,
Paweł Piskorski,Maria Rzążewska,"Flory 3, decyzja z dnia 21 lutego 2000 r. nr GN/NW/7261/30/94/AC",,
Paweł Piskorski,Edward Janeczko,"Flory 3, decyzja z dnia 21 lutego 2000 r. nr GN/NW/7261/30/94/AC",,
